SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,state_Rural,state_Suburb,state_Urban,0
1200,5,3,2014,156394.28,0,1,0,1
2863,5,1,2000,333464.16,0,1,0,1
1502,2,3,1991,119671.37,0,1,0,1
1406,4,2,1997,148891.42,0,1,0,1
2751,2,2,2010,357765.12,0,1,0,1
2895,2,3,2005,302454.62,0,1,0,1
1960,4,1,1991,220786.72,0,1,0,1
1612,4,1,2018,142420.97,0,1,0,1
2966,3,1,1980,299146.6,0,1,0,1
1642,4,2,1951,216976.9,0,1,0,1
2792,4,1,2020,243179.7,0,1,0,1
2028,5,1,1984,184210.78,0,1,0,1
2241,2,3,2011,175779.56,0,1,0,1
1206,2,1,1983,110852.45,0,1,0,1
2881,4,1,1987,292218.38,0,1,0,1
2577,4,2,1966,209166.3,0,1,0,1
1891,2,3,1965,283220.1,0,1,0,1
1863,4,3,1990,267934.1,0,1,0,1
2264,4,3,1964,246611.89,0,1,0,1
2020,4,3,1999,278092.75,0,1,0,1
1095,4,2,2001,88443.38,0,1,0,1
2757,4,2,1985,280503.8,0,1,0,1
1748,4,2,1950,142717.83,0,1,0,1
2266,4,3,1975,323981.5,0,1,0,1
2597,3,1,1970,249931.38,0,1,0,1
1645,2,2,2017,115738.6,0,1,0,1
2643,3,1,1950,248155.88,0,1,0,1
2981,3,3,2002,320922.2,0,1,0,1
2663,2,3,1993,283301.94,0,1,0,1
2371,4,1,1953,240277.02,0,1,0,1
1189,2,2,1965,52033.758,0,1,0,1
2248,3,2,1990,157260.98,0,1,0,1
2408,5,2,2004,349887.38,0,1,0,1
2306,3,3,2015,267740.44,0,1,0,1
1627,5,1,1986,240462.67,0,1,0,1
2700,5,1,1962,397825.34,0,1,0,1
1683,2,2,1965,191156.39,0,1,0,1
2397,2,3,1971,311492.25,0,1,0,1
2853,2,1,1974,256367.86,0,1,0,1
1441,2,1,1957,161116.81,0,1,0,1
1563,4,3,2013,182494.89,0,1,0,1
2291,5,2,1965,276165.9,0,1,0,1
2533,4,3,2004,314516.62,0,1,0,1
1951,4,1,2021,250119.22,0,1,0,1
1698,3,3,1995,234243.62,0,1,0,1
1219,5,3,1980,117989.36,0,1,0,1
1854,2,1,1950,254919.28,0,1,0,1
2153,5,1,1962,246860.55,0,1,0,1
2733,5,1,1992,290094.6,0,1,0,1
1835,5,1,2015,241849.23,0,1,0,1
2462,3,3,1985,206273.3,0,1,0,1
2207,3,2,1953,169742.88,0,1,0,1
1122,3,3,1971,148324.4,0,1,0,1
1400,5,1,2020,184460.05,0,1,0,1
1279,3,2,1971,183265.4,0,1,0,1
1883,3,1,1989,181947.64,0,1,0,1
1981,3,3,2014,198755.14,0,1,0,1
1143,2,3,1963,168931.83,0,1,0,1
2224,3,2,1971,218168.7,0,1,0,1
2147,4,1,1977,199220.2,0,1,0,1
2349,2,2,1996,281507.75,0,1,0,1
1463,3,3,2017,169378.78,0,1,0,1
2372,4,3,2019,248599.11,0,1,0,1
1659,4,2,1980,119032.88,0,1,0,1
1763,5,1,1963,230075.05,0,1,0,1
2369,2,2,1962,246212.2,0,1,0,1
2843,5,1,1965,333530.06,0,1,0,1
1928,3,3,1999,205778.31,0,1,0,1
1550,5,3,1969,186745.12,0,1,0,1
1640,3,1,1996,180978.02,0,1,0,1
1472,4,2,2017,163315.12,0,1,0,1
1150,4,1,2010,190479.2,0,1,0,1
2438,2,3,1973,204129.22,0,1,0,1
2321,2,2,1976,249930.12,0,1,0,1
2634,4,3,1978,372750.47,0,1,0,1
1143,3,2,2002,95784.07,0,1,0,1
1345,2,2,1951,165456.12,0,1,0,1
2016,2,3,2021,212190.75,0,1,0,1
2595,4,1,2014,298280.38,0,1,0,1
1253,4,3,1952,205827.9,0,1,0,1
1452,2,1,1955,64055.914,0,1,0,1
1008,5,3,1983,161063.73,0,1,0,1
2256,2,2,1991,162732.69,0,1,0,1
1815,3,2,1967,161315.1,0,1,0,1
1207,4,3,1963,171344.52,0,1,0,1
1151,5,2,2019,147961.73,0,1,0,1
1053,4,3,2005,96856.09,0,1,0,1
2143,4,3,2002,241976.23,0,1,0,1
1586,4,2,1996,234537.62,0,1,0,1
2648,2,2,1971,266525.8,0,1,0,1
1103,4,1,1961,249885.95,0,1,0,1
2875,4,3,1980,320712.2,0,1,0,1
2250,4,3,2010,258681.66,0,1,0,1
2135,3,1,1955,236721.58,0,1,0,1
1509,4,3,1971,152417.95,0,1,0,1
1877,2,3,1965,173591.52,0,1,0,1
2743,5,1,2012,303839.75,0,1,0,1
1956,5,2,1964,255500.66,0,1,0,1
1160,5,3,1970,174048.92,0,1,0,1
1815,5,2,2007,137931.98,0,1,0,1
2939,2,3,2016,238181.44,0,1,0,1
2919,2,1,1971,340122.34,0,1,0,1
2218,4,2,1971,267560.28,0,1,0,1
2056,4,1,2014,237224.42,0,1,0,1
1687,2,1,2002,130383.65,0,1,0,1
1459,3,2,1980,248587.3,0,1,0,1
2906,4,1,1983,307426.12,0,1,0,1
1469,3,3,1986,224293.97,0,1,0,1
1229,3,2,2010,48780.113,0,1,0,1
2632,2,1,1999,306987.06,0,1,0,1
1878,3,2,1989,159685.45,0,1,0,1
1658,4,1,1973,200254.72,0,1,0,1
2072,2,2,1953,209615.39,0,1,0,1
1016,4,2,2015,86742.695,0,1,0,1
2195,5,2,2018,260504.83,0,1,0,1
1517,3,3,1978,180446.94,0,1,0,1
2915,2,1,1982,293526.34,0,1,0,1
2060,3,3,1991,261561.33,0,1,0,1
2372,3,1,1955,278442.16,0,1,0,1
1190,4,1,1982,197241.25,0,1,0,1
1980,2,3,1951,197810.62,0,1,0,1
2184,3,1,1994,205236.28,0,1,0,1
2279,3,1,1987,206408.53,0,1,0,1
2346,4,2,1994,279440.0,0,1,0,1
1127,4,1,1965,127174.72,0,1,0,1
1017,5,1,1996,127458.04,0,1,0,1
2816,5,2,1974,356063.84,0,1,0,1
2346,2,2,2015,297939.72,0,1,0,1
2895,2,2,1956,348536.62,0,1,0,1
1685,2,1,1969,145096.73,0,1,0,1
1625,5,1,1964,273166.56,0,1,0,1
2966,2,3,2006,258865.97,0,1,0,1
1853,5,2,1999,197763.06,0,1,0,1
1489,3,3,1993,225167.55,0,1,0,1
2409,3,2,2011,333108.7,0,1,0,1
2127,2,1,2009,273921.25,0,1,0,1
2952,3,2,2006,230500.45,0,1,0,1
2416,4,2,2010,361696.1,0,1,0,1
2834,5,3,2013,319789.84,0,1,0,1
1245,5,1,1966,174765.25,0,1,0,1
2500,5,2,2001,363561.9,0,1,0,1
2705,3,1,1967,251734.6,0,1,0,1
1524,2,3,1951,223582.39,0,1,0,1
2529,4,1,1953,214945.6,0,1,0,1
1019,2,2,1993,70855.37,0,1,0,1
1320,4,1,1998,183736.73,0,1,0,1
2799,2,3,2018,388318.72,0,1,0,1
1511,4,2,1966,165073.72,0,1,0,1
2906,3,1,1981,385304.72,0,1,0,1
1470,5,3,2005,144254.8,0,1,0,1
1833,4,3,1954,139343.73,0,1,0,1
2823,3,3,1972,246154.69,0,1,0,1
1726,4,2,2000,218372.94,0,1,0,1
1050,4,3,1979,203482.19,0,1,0,1
2213,4,1,1995,234126.81,0,1,0,1
1149,3,3,1978,91677.17,0,1,0,1
2365,2,1,1986,323820.03,0,1,0,1
2002,3,1,2014,259033.56,0,1,0,1
1612,5,1,1950,127303.86,0,1,0,1
1992,5,3,1964,210318.9,0,1,0,1
1263,5,3,1960,188936.22,0,1,0,1
2003,4,1,2003,198735.77,0,1,0,1
1876,3,1,2015,237628.64,0,1,0,1
1991,4,2,2004,201135.28,0,1,0,1
1866,4,2,1999,135186.94,0,1,0,1
1935,3,1,2002,176508.47,0,1,0,1
1369,5,2,1977,156946.23,0,1,0,1
2693,2,1,1959,281991.7,0,1,0,1
1119,3,1,1986,118571.52,0,1,0,1
1830,2,2,2017,258490.8,0,1,0,1
2810,2,3,2020,237178.03,0,1,0,1
2081,4,3,2007,234682.72,0,1,0,1
2974,2,3,1965,236267.06,0,1,0,1
1790,4,3,1992,311154.72,0,1,0,1
2664,4,1,1968,272864.8,0,1,0,1
2774,3,2,1981,289649.3,0,1,0,1
2661,3,2,1975,273196.62,0,1,0,1
2908,5,1,2005,304456.0,0,1,0,1
2295,3,3,2008,175119.2,0,1,0,1
2212,2,2,2006,273977.78,0,1,0,1
2470,5,1,2018,276587.2,0,1,0,1
1789,5,3,1971,133679.27,0,1,0,1
1696,3,3,1977,263720.9,0,1,0,1
2997,3,1,1996,386973.66,0,1,0,1
2070,5,1,2015,136921.11,0,1,0,1
2011,3,3,1993,261284.0,0,1,0,1
1452,2,3,2003,240942.64,0,1,0,1
2227,4,2,2016,216203.92,0,1,0,1
1217,5,3,2019,228079.11,0,1,0,1
1431,2,1,1992,150462.64,0,1,0,1
2635,5,1,1988,270138.6,0,1,0,1
2757,5,1,1983,296494.38,0,1,0,1
1022,3,3,1995,115202.94,0,1,0,1
2781,2,1,1959,303105.5,0,1,0,1
2860,2,1,1980,311183.9,0,1,0,1
2203,5,1,1984,263493.25,0,1,0,1
2246,5,3,2006,324176.94,0,1,0,1
2929,2,3,1969,337269.88,0,1,0,1
1515,4,1,1994,133643.36,0,1,0,1
2782,4,3,1996,326470.34,0,1,0,1
1257,5,1,1992,218502.86,0,1,0,1
1851,2,3,1991,206542.45,0,1,0,1
1379,4,2,1981,103848.36,0,1,0,1
2952,2,2,1975,352850.78,0,1,0,1
2636,5,2,1992,338456.4,0,1,0,1
2291,2,2,1979,260643.22,0,1,0,1
2440,2,2,2017,270580.72,0,1,0,1
2191,4,2,1974,252500.31,0,1,0,1
2066,2,1,1986,257401.6,0,1,0,1
2579,4,1,1977,284904.8,0,1,0,1
1396,5,3,2009,286856.53,0,1,0,1
1034,5,1,1969,209782.44,0,1,0,1
1848,2,2,1970,174159.0,0,1,0,1
1089,3,3,1978,80169.26,0,1,0,1
1775,4,3,2011,197440.84,0,1,0,1
2625,5,3,1991,267944.94,0,1,0,1
1417,3,2,1985,154703.88,0,1,0,1
2219,5,3,2005,246920.27,0,1,0,1
2649,3,1,2004,270556.7,0,1,0,1
2516,4,3,1985,275162.44,0,1,0,1
1412,3,1,1990,149130.1,0,1,0,1
1760,5,3,2005,329138.6,0,1,0,1
2417,4,3,2001,298584.94,0,1,0,1
1919,3,3,2007,224202.08,0,1,0,1
2571,5,2,2009,239857.88,0,1,0,1
2008,4,3,2017,214463.72,0,1,0,1
1662,4,1,2013,240334.62,0,1,0,1
2213,3,1,1961,143838.14,0,1,0,1
2759,5,3,1961,231149.53,0,1,0,1
2803,3,2,1968,314396.56,0,1,0,1
2718,2,3,1963,246523.7,0,1,0,1
2548,4,3,1953,192436.6,0,1,0,1
1278,5,1,1954,214298.3,0,1,0,1
2821,3,2,1980,230251.83,0,1,0,1
2296,2,2,2006,228944.86,0,1,0,1
1595,4,3,2004,138738.9,0,1,0,1
2365,5,2,2002,260065.92,0,1,0,1
1176,5,1,1965,191111.8,0,1,0,1
2635,5,1,1997,236979.27,0,1,0,1
2256,4,2,2017,232944.42,0,1,0,1
1264,3,3,1971,185462.1,0,1,0,1
2587,5,2,2020,283949.78,0,1,0,1
1850,2,1,1955,237898.53,0,1,0,1
2390,4,2,2014,222996.2,0,1,0,1
1143,3,1,1963,148993.25,0,1,0,1
1884,4,3,1961,239641.31,0,1,0,1
2048,5,2,1959,218497.8,0,1,0,1
1947,2,3,2019,111367.24,0,1,0,1
1890,4,1,1997,205937.97,0,1,0,1
2209,4,3,1971,296655.2,0,1,0,1
1397,3,3,1977,154224.86,0,1,0,1
2186,3,1,1982,305463.28,0,1,0,1
1732,4,2,1988,199698.3,0,1,0,1
1657,2,2,1963,185033.5,0,1,0,1
1587,5,2,2020,208334.58,0,1,0,1
1953,5,1,1988,189607.33,0,1,0,1
1491,2,2,1957,188387.22,0,1,0,1
1912,2,3,1979,217927.11,0,1,0,1
2676,4,1,1969,288139.66,0,1,0,1
2191,4,3,1972,310818.3,0,1,0,1
2416,3,2,1983,216479.23,0,1,0,1
1794,5,1,2006,253265.03,0,1,0,1
2519,4,2,1998,225675.33,0,1,0,1
2388,3,1,1992,253719.62,0,1,0,1
2856,3,3,1966,206099.42,0,1,0,1
1499,4,3,1992,41630.74,0,1,0,1
2680,2,1,2004,249052.42,0,1,0,1
1510,3,2,2011,184231.2,0,1,0,1
2275,2,1,1963,243496.66,0,1,0,1
2438,3,1,1980,208749.06,0,1,0,1
2205,2,1,2002,238840.58,0,1,0,1
1166,3,3,2003,206852.12,0,1,0,1
2554,3,3,1988,254325.53,0,1,0,1
2474,5,3,2016,290504.4,0,1,0,1
1652,3,1,1982,204042.48,0,1,0,1
2243,5,1,1979,315812.0,0,1,0,1
1828,5,2,1962,311639.16,0,1,0,1
2958,3,1,2007,229455.11,0,1,0,1
2024,5,1,1995,253040.83,0,1,0,1
2531,2,2,1990,234623.94,0,1,0,1
1823,2,3,2021,236688.27,0,1,0,1
1057,2,2,1958,118092.0,0,1,0,1
1671,2,2,1993,195992.03,0,1,0,1
1814,4,1,1978,224581.67,0,1,0,1
2172,4,2,1970,240740.19,0,1,0,1
1885,4,3,2021,249861.14,0,1,0,1
2236,4,2,1985,326922.0,0,1,0,1
2250,4,1,1999,279073.88,0,1,0,1
2682,4,3,1963,244530.02,0,1,0,1
2464,5,2,2015,276540.44,0,1,0,1
1655,4,2,2003,195194.7,0,1,0,1
1970,2,1,1987,197931.97,0,1,0,1
1783,3,3,1960,189727.39,0,1,0,1
2431,2,2,1952,209647.45,0,1,0,1
1675,3,3,1950,222874.72,0,1,0,1
1697,2,3,1965,146521.31,0,1,0,1
1040,3,3,2012,154006.61,0,1,0,1
2946,5,3,1977,342149.84,0,1,0,1
2168,3,3,1963,233297.1,0,1,0,1
1731,4,1,1989,149708.53,0,1,0,1
1924,5,2,2015,180984.98,0,1,0,1
1389,2,1,1955,169312.5,0,1,0,1
2617,4,3,1985,246554.25,0,1,0,1
2838,5,3,2006,251681.75,0,1,0,1
1823,2,1,2019,236683.3,0,1,0,1
1797,4,2,1999,234486.02,0,1,0,1
2265,5,2,1955,165566.97,0,1,0,1
2274,3,3,1992,286489.72,0,1,0,1
2142,4,2,1981,161743.42,0,1,0,1
1145,4,3,2013,89762.97,0,1,0,1
2262,4,1,2006,244215.92,0,1,0,1
1176,5,3,2011,245337.77,0,1,0,1
2802,3,1,1956,303158.56,0,1,0,1
2240,2,2,1995,194460.42,0,1,0,1
1826,5,3,1999,203993.73,0,1,0,1
1688,4,3,1957,149216.27,0,1,0,1
2484,4,1,1952,246342.17,0,1,0,1
2633,2,2,1960,296127.97,0,1,0,1
1510,4,2,2000,122252.28,0,1,0,1
1404,5,1,1966,184800.95,0,1,0,1
1822,4,1,1978,251020.94,0,1,0,1
1708,5,1,1961,189782.12,0,1,0,1
2893,4,2,1962,386754.03,0,1,0,1
2460,3,3,1999,259605.94,0,1,0,1
1996,2,1,1975,172698.92,0,1,0,1
1676,2,1,1952,255611.73,0,1,0,1
1082,5,1,1992,142633.84,0,1,0,1
2108,4,2,1966,279338.97,0,1,0,1
1456,2,3,1989,102686.516,0,1,0,1
2901,5,1,2015,357084.88,0,1,0,1
1050,4,2,1955,218059.03,0,1,0,1
2795,2,3,1951,291568.34,0,1,0,1
1880,2,1,1956,153154.06,0,1,0,1
1487,2,1,1996,40231.176,0,1,0,1
2371,5,3,2008,255858.33,0,1,0,1
2095,2,3,1996,232521.08,0,1,0,1
1153,4,2,2002,220953.77,0,1,0,1
1117,2,2,1997,62277.05,0,1,0,1
2984,3,1,2018,424502.06,0,1,0,1
2077,4,3,1988,202779.75,0,1,0,1
1623,4,3,2000,200613.4,0,1,0,1
1766,4,3,2019,227038.98,0,1,0,1
2230,4,2,1996,207817.7,0,1,0,1
1577,3,1,1981,153390.66,0,1,0,1
1102,3,1,1969,119347.72,0,1,0,1
1737,4,3,1959,192126.89,0,1,0,1
2329,5,3,2005,297511.56,0,1,0,1
2358,5,1,1990,276729.53,0,1,0,1
1165,4,2,1961,146864.03,0,1,0,1
1758,5,3,1964,203716.14,0,1,0,1
2586,2,1,1955,277634.2,0,1,0,1
1080,4,2,1978,170586.86,0,1,0,1
1784,4,1,2004,207482.89,0,1,0,1
2875,4,1,1966,192842.64,0,1,0,1
2797,4,1,1956,233716.42,0,1,0,1
1052,2,2,1952,146607.19,0,1,0,1
2473,2,1,2003,198600.89,0,1,0,1
2770,2,3,1958,332358.66,0,1,0,1
2994,2,1,2006,280134.62,0,1,0,1
1760,3,3,1984,242093.56,0,1,0,1
1847,4,1,1956,204116.38,0,1,0,1
2397,3,1,1985,188577.06,0,1,0,1
2935,3,3,1983,373813.16,0,1,0,1
1899,4,3,2016,232981.92,0,1,0,1
1899,3,2,2015,183344.25,0,1,0,1
2218,4,1,2018,276382.03,0,1,0,1
2887,3,2,1989,343806.62,0,1,0,1
1671,5,2,2000,238757.9,0,1,0,1
1060,2,3,1974,169940.95,0,1,0,1
1633,4,1,1971,175580.25,0,1,0,1
2074,4,2,1985,230989.25,0,1,0,1
2812,2,3,1970,362904.47,0,1,0,1
2489,4,1,1955,231954.81,0,1,0,1
2852,2,3,2011,362553.06,0,1,0,1
2536,2,1,1984,313418.7,0,1,0,1
1523,5,3,2013,175489.89,0,1,0,1
2069,4,1,2020,246798.27,0,1,0,1
2753,4,2,1999,326789.94,0,1,0,1
2946,5,2,1981,355324.47,0,1,0,1
1046,5,2,1988,24201.63,0,1,0,1
2144,3,2,2006,255121.83,0,1,0,1
1238,2,2,1976,107985.1,0,1,0,1
2079,4,2,1965,300957.78,0,1,0,1
1047,3,2,1991,169713.53,0,1,0,1
2596,5,3,1998,340109.28,0,1,0,1
1336,4,1,1993,132485.86,0,1,0,1
2049,4,3,1981,261852.55,0,1,0,1
1803,4,2,2021,167341.44,0,1,0,1
2715,5,3,2018,280526.4,0,1,0,1
1638,5,2,1967,272001.06,0,1,0,1
1525,4,2,1971,220914.53,0,1,0,1
1473,5,1,1971,134308.11,0,1,0,1
1525,4,2,1992,179134.05,0,1,0,1
1882,4,1,1969,149464.88,0,1,0,1
2030,5,3,1996,163185.2,0,1,0,1
2026,3,1,1973,202966.64,0,1,0,1
2646,3,1,2013,359020.1,0,1,0,1
1918,3,2,1969,270285.25,0,1,0,1
2297,3,2,1982,173934.83,0,1,0,1
2906,5,3,1996,287991.2,0,1,0,1
2254,2,2,1983,299759.6,0,1,0,1
1085,3,3,1952,170202.4,0,1,0,1
2548,2,1,1987,186540.95,0,1,0,1
1227,3,2,1965,62986.305,0,1,0,1
1747,4,2,2013,153806.38,0,1,0,1
2761,5,2,1952,225236.92,0,1,0,1
2989,4,2,1959,366555.25,0,1,0,1
2764,4,2,1990,250869.38,0,1,0,1
2400,3,2,1970,379321.25,0,1,0,1
2605,4,2,1999,307809.47,0,1,0,1
2526,4,1,2021,312283.53,0,1,0,1
1515,3,3,1961,129303.3,0,1,0,1
2469,5,2,1975,290906.16,0,1,0,1
2853,4,3,1959,265870.28,0,1,0,1
1349,4,3,2006,69051.27,0,1,0,1
1542,4,1,2012,245906.67,0,1,0,1
2063,2,1,2000,232425.86,0,1,0,1
1547,5,3,1961,198137.88,0,1,0,1
1919,3,2,1973,203344.11,0,1,0,1
2246,5,3,1992,260688.8,0,1,0,1
1467,4,1,1976,115795.36,0,1,0,1
1117,3,3,1967,72090.54,0,1,0,1
1946,3,3,1994,261841.75,0,1,0,1
1573,2,2,2019,213060.55,0,1,0,1
2464,4,2,2014,255410.48,0,1,0,1
1193,4,1,2019,193815.88,0,1,0,1
1714,2,1,1981,229013.33,0,1,0,1
2415,3,3,1992,187933.53,0,1,0,1
2458,5,2,1978,208859.2,0,1,0,1
1172,4,2,2018,164459.11,0,1,0,1
2668,4,3,1950,338334.53,0,1,0,1
1089,5,1,1975,134466.11,0,1,0,1
2573,3,1,1977,231364.19,0,1,0,1
1138,5,3,1999,256454.55,0,1,0,1
2891,5,3,2011,331896.53,0,1,0,1
1844,5,1,1996,205052.3,0,1,0,1
2696,3,1,1959,360128.47,0,1,0,1
1689,3,1,1957,171906.89,0,1,0,1
1009,2,3,1978,131689.48,0,1,0,1
1012,5,1,1967,182260.27,0,1,0,1
2665,4,3,2013,310691.5,0,1,0,1
1784,4,1,1965,247140.84,0,1,0,1
1776,3,2,1990,181801.45,0,1,0,1
2442,2,3,2007,312943.75,0,1,0,1
2629,3,2,1955,342274.5,0,1,0,1
2118,3,3,1952,327981.94,0,1,0,1
2840,5,3,1987,312046.88,0,1,0,1
2604,2,1,1981,314944.2,0,1,0,1
1235,4,1,1983,241791.25,0,1,0,1
2908,4,3,1956,282492.22,0,1,0,1
2482,2,1,1969,288077.25,0,1,0,1
2160,4,3,1984,261779.61,0,1,0,1
2953,3,1,1968,315491.53,0,1,0,1
2570,2,2,2001,379870.53,0,1,0,1
2319,5,3,2001,365341.84,0,1,0,1
2343,2,1,1962,200036.6,0,1,0,1
2372,4,1,1956,230595.31,0,1,0,1
2314,3,2,2017,200738.03,0,1,0,1
2188,5,3,1976,244617.5,0,1,0,1
2433,5,3,1997,323905.12,0,1,0,1
1600,2,2,2012,271767.34,0,1,0,1
1401,5,1,1984,183614.38,0,1,0,1
1295,3,3,1980,69742.32,0,1,0,1
2888,3,2,1999,254958.47,0,1,0,1
2248,2,2,2003,234782.06,0,1,0,1
1502,2,1,1969,170893.72,0,1,0,1
2997,2,3,1953,376243.3,0,1,0,1
2970,2,3,2019,271877.47,0,1,0,1
2062,2,3,1989,170381.17,0,1,0,1
1553,5,1,1997,223049.0,0,1,0,1
2471,2,3,1967,319933.9,0,1,0,1
2523,2,2,2004,310310.28,0,1,0,1
2254,3,3,1975,242468.17,0,1,0,1
2464,5,1,1962,376283.1,0,1,0,1
2434,5,1,1979,181513.98,0,1,0,1
1950,4,3,2013,230751.61,0,1,0,1
2277,5,1,1980,161369.97,0,1,0,1
1597,2,3,1993,191429.06,0,1,0,1
2857,3,2,1975,296301.47,0,1,0,1
2658,2,1,1999,267022.6,0,1,0,1
2932,5,1,1968,276777.88,0,1,0,1
2182,5,2,1964,248861.92,0,1,0,1
2719,3,1,1988,256082.62,0,1,0,1
1014,4,1,2017,122023.28,0,1,0,1
2180,5,3,1967,180554.9,0,1,0,1
1323,3,3,2018,204741.05,0,1,0,1
1843,2,2,1974,180011.66,0,1,0,1
2955,3,3,1960,330165.25,0,1,0,1
2306,2,1,1977,242960.72,0,1,0,1
2683,2,3,2003,235427.47,0,1,0,1
2865,2,1,1957,402366.84,0,1,0,1
1022,4,2,2016,137553.39,0,1,0,1
1814,4,1,2007,197682.77,0,1,0,1
1140,3,2,2007,157591.25,0,1,0,1
1957,5,2,1986,202962.64,0,1,0,1
2483,4,2,1981,304337.16,0,1,0,1
2003,2,1,1972,177089.88,0,1,0,1
1887,4,3,1961,281861.25,0,1,0,1
2863,5,1,1973,362317.47,0,1,0,1
2822,2,3,2020,311383.28,0,1,0,1
1813,2,1,2007,252819.62,0,1,0,1
2428,3,3,1957,263628.84,0,1,0,1
2645,3,1,1981,251233.08,0,1,0,1
2205,4,3,1991,252324.88,0,1,0,1
1824,2,2,2021,118070.53,0,1,0,1
2973,2,2,1984,314433.72,0,1,0,1
1660,4,2,1979,279010.9,0,1,0,1
2826,5,1,1954,323962.0,0,1,0,1
1074,4,2,1965,81813.516,0,1,0,1
2233,2,2,1964,237270.27,0,1,0,1
1417,2,1,1964,104277.914,0,1,0,1
2552,4,3,1992,302407.8,0,1,0,1
1938,2,1,1982,164438.62,0,1,0,1
1954,4,3,1977,281671.6,0,1,0,1
1663,5,2,1979,193529.61,0,1,0,1
1176,3,1,1969,264943.25,0,1,0,1
2002,5,3,1995,291470.34,0,1,0,1
2492,4,3,1962,312093.88,0,1,0,1
2384,5,3,1988,337549.22,0,1,0,1
1688,5,2,1986,141942.06,0,1,0,1
2653,4,1,1975,378989.62,0,1,0,1
1341,4,3,2018,150194.77,0,1,0,1
2759,5,2,2012,340230.78,0,1,0,1
1989,2,1,1996,203613.89,0,1,0,1
1434,5,1,1974,201118.73,0,1,0,1
2914,4,2,1999,357901.4,0,1,0,1
1951,2,1,1954,221873.55,0,1,0,1
1669,5,2,1952,124996.28,0,1,0,1
1284,4,2,1967,150624.27,0,1,0,1
2328,4,2,1957,217604.86,0,1,0,1
1428,5,3,2007,192598.05,0,1,0,1
1285,4,3,1999,108135.55,0,1,0,1
1589,2,1,2017,162111.02,0,1,0,1
2394,2,3,1965,264433.38,0,1,0,1
2198,5,2,1961,231654.62,0,1,0,1
2009,2,3,1976,71784.63,0,1,0,1
1501,5,3,1996,174573.36,0,1,0,1
1987,5,3,1958,198395.47,0,1,0,1
2701,2,1,2002,314549.97,0,1,0,1
1830,4,3,1979,95632.49,0,1,0,1
2667,4,2,2000,233177.94,0,1,0,1
1054,3,2,2010,171845.23,0,1,0,1
1161,4,3,1960,79599.39,0,1,0,1
2499,5,1,1994,344770.66,0,1,0,1
2414,5,3,1956,260344.83,0,1,0,1
1832,4,2,1969,297931.53,0,1,0,1
1312,2,2,2009,158456.78,0,1,0,1
1327,2,2,1958,193903.34,0,1,0,1
2074,3,3,1984,230407.92,0,1,0,1
2627,2,2,2016,319114.6,0,1,0,1
2006,5,2,2019,227149.27,0,1,0,1
2287,2,1,1985,240203.12,0,1,0,1
1095,3,2,1992,162886.78,0,1,0,1
2101,5,1,1952,87154.24,0,1,0,1
