SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,state_Rural,state_Suburb,state_Urban,0
1283,2,3,1978,172933.77,1,0,0,0
1959,4,3,1966,244916.47,1,0,0,0
1452,3,1,2013,86276.336,1,0,0,0
2852,3,3,1956,267060.03,1,0,0,0
1815,4,2,1983,158867.81,1,0,0,0
2539,3,1,1956,197039.39,1,0,0,0
1546,3,3,1957,251427.16,1,0,0,0
2535,2,1,2012,343628.22,1,0,0,0
2243,4,2,1959,267664.34,1,0,0,0
1157,5,3,2012,87137.89,1,0,0,0
1476,4,2,1986,217625.44,1,0,0,0
2069,2,2,2021,179619.69,1,0,0,0
2396,5,2,1952,304272.53,1,0,0,0
2768,5,3,2009,333027.9,1,0,0,0
1496,2,3,1998,123828.1,1,0,0,0
1301,4,1,2021,88586.055,1,0,0,0
1180,3,2,1992,134443.89,1,0,0,0
2122,4,2,2000,234164.89,1,0,0,0
1699,3,2,1963,150304.55,1,0,0,0
1992,5,1,1973,240050.5,1,0,0,0
2139,3,3,2021,277542.72,1,0,0,0
1252,2,2,1978,101805.6,1,0,0,0
1565,3,3,1968,153282.86,1,0,0,0
1784,2,1,1958,253462.84,1,0,0,0
2199,5,1,2007,300718.8,1,0,0,0
2890,4,2,1966,335743.3,1,0,0,0
2841,2,3,1952,276296.34,1,0,0,0
1920,2,3,1982,222212.12,1,0,0,0
1399,3,3,1987,213210.05,1,0,0,0
1653,5,2,2005,140382.88,1,0,0,0
2982,2,3,1974,309839.7,1,0,0,0
2721,3,3,1979,365466.44,1,0,0,0
1313,5,2,2011,262434.53,1,0,0,0
1569,3,1,1978,184359.53,1,0,0,0
1304,3,2,1989,97808.59,1,0,0,0
1681,4,1,1975,128702.12,1,0,0,0
1837,3,3,1976,129730.195,1,0,0,0
2806,4,2,2000,326637.47,1,0,0,0
2077,4,3,1971,241442.14,1,0,0,0
1443,5,2,1987,299103.34,1,0,0,0
1004,3,2,1986,65228.453,1,0,0,0
2219,2,3,2010,255398.75,1,0,0,0
2373,4,2,1975,313572.84,1,0,0,0
1046,2,1,1987,161735.1,1,0,0,0
1822,5,1,1972,206442.25,1,0,0,0
2129,2,3,2016,194238.86,1,0,0,0
2682,4,3,1983,258071.88,1,0,0,0
2497,3,3,2019,293908.28,1,0,0,0
1116,3,1,1977,148823.05,1,0,0,0
2853,2,3,1967,317837.88,1,0,0,0
2416,4,3,1971,215724.19,1,0,0,0
2931,2,1,1963,249356.73,1,0,0,0
1801,4,1,1963,144200.25,1,0,0,0
2119,3,2,1972,257560.47,1,0,0,0
2624,4,1,2004,258771.6,1,0,0,0
1487,2,3,2016,96385.92,1,0,0,0
1896,3,2,1964,171955.11,1,0,0,0
1860,4,3,1996,187289.19,1,0,0,0
2679,4,2,1973,271131.7,1,0,0,0
2109,3,2,1964,270288.25,1,0,0,0
2308,4,1,1982,343733.47,1,0,0,0
1093,5,3,1950,118967.695,1,0,0,0
2773,3,3,1962,225775.66,1,0,0,0
1957,4,3,2004,291978.28,1,0,0,0
1473,5,3,1958,148489.52,1,0,0,0
1340,2,3,2014,226047.23,1,0,0,0
2312,3,1,1986,200589.03,1,0,0,0
2277,5,3,1975,258865.27,1,0,0,0
1521,2,2,1975,202351.36,1,0,0,0
2123,2,1,2007,149038.0,1,0,0,0
2682,4,2,2012,240370.02,1,0,0,0
1441,4,2,2019,316311.34,1,0,0,0
2631,4,2,1993,301656.2,1,0,0,0
2348,4,2,1999,223082.0,1,0,0,0
1791,4,1,1999,152462.5,1,0,0,0
1335,5,3,2001,255989.5,1,0,0,0
1159,4,3,2017,167817.14,1,0,0,0
1690,5,3,1963,197888.11,1,0,0,0
2858,4,1,1958,304034.38,1,0,0,0
2600,3,3,1969,287191.8,1,0,0,0
1284,5,2,2009,211770.31,1,0,0,0
1011,4,3,1969,175101.11,1,0,0,0
2325,4,3,1957,192111.84,1,0,0,0
2276,4,2,1981,255596.05,1,0,0,0
1498,4,2,1973,288403.5,1,0,0,0
1726,4,3,2002,215865.84,1,0,0,0
2945,3,1,1983,272553.03,1,0,0,0
1969,2,3,1996,150367.97,1,0,0,0
2021,5,2,1958,192499.14,1,0,0,0
2926,5,1,1983,297645.47,1,0,0,0
2524,5,2,2019,328545.88,1,0,0,0
2098,4,2,1959,185514.48,1,0,0,0
2399,5,2,2000,214095.05,1,0,0,0
2443,3,1,1954,290060.3,1,0,0,0
2020,2,3,1978,190984.02,1,0,0,0
2892,2,2,1962,295605.47,1,0,0,0
1456,2,2,1978,220667.14,1,0,0,0
1036,4,3,2005,57693.113,1,0,0,0
2392,3,1,1985,269266.97,1,0,0,0
1216,2,1,1991,151148.94,1,0,0,0
1866,5,2,2009,241160.64,1,0,0,0
1872,2,1,1986,211510.34,1,0,0,0
2904,2,1,2001,272997.6,1,0,0,0
1061,2,1,1992,71057.44,1,0,0,0
1728,3,1,2001,221433.42,1,0,0,0
2042,4,3,1972,260611.25,1,0,0,0
1395,5,2,1953,142709.22,1,0,0,0
1444,4,1,1974,90595.445,1,0,0,0
1075,5,2,1988,170587.7,1,0,0,0
2092,3,1,2008,226598.8,1,0,0,0
2492,2,3,2003,319363.78,1,0,0,0
2507,5,1,1999,321563.4,1,0,0,0
2167,4,3,1958,266521.94,1,0,0,0
1568,3,3,2015,129901.83,1,0,0,0
2062,4,2,2018,246504.02,1,0,0,0
2238,5,2,1985,230947.27,1,0,0,0
2866,2,1,2017,274487.72,1,0,0,0
1750,3,1,1988,222984.38,1,0,0,0
2032,3,3,1969,254289.73,1,0,0,0
2276,2,3,1969,211264.25,1,0,0,0
1169,5,2,1988,144823.88,1,0,0,0
2540,2,2,1957,273339.06,1,0,0,0
2445,4,1,1998,380654.62,1,0,0,0
2671,5,3,2012,213976.86,1,0,0,0
2350,4,3,1971,308213.88,1,0,0,0
2155,2,2,1969,217331.88,1,0,0,0
1444,5,3,1952,105488.09,1,0,0,0
1875,5,2,1971,269844.16,1,0,0,0
1713,3,2,1981,133711.23,1,0,0,0
2881,4,2,1980,363943.3,1,0,0,0
1038,5,3,2011,115580.62,1,0,0,0
2149,5,2,2006,315570.84,1,0,0,0
1172,3,2,2011,192190.88,1,0,0,0
1753,2,2,2009,227730.14,1,0,0,0
2081,3,1,1969,266445.03,1,0,0,0
2683,4,2,2021,373582.47,1,0,0,0
1455,5,3,1970,141658.69,1,0,0,0
1894,5,3,1979,200989.3,1,0,0,0
1386,5,3,1951,153895.94,1,0,0,0
1347,4,2,1976,154491.0,1,0,0,0
1189,5,1,1956,194760.36,1,0,0,0
1504,2,1,1999,206783.25,1,0,0,0
1928,3,2,2005,205486.31,1,0,0,0
1933,2,1,1970,214957.66,1,0,0,0
1684,4,3,1978,178076.62,1,0,0,0
1172,2,3,1965,48426.57,1,0,0,0
2852,2,3,1993,237828.1,1,0,0,0
1079,3,2,2015,195945.23,1,0,0,0
2252,5,2,1998,316517.3,1,0,0,0
2699,3,3,1990,240508.84,1,0,0,0
2425,5,2,1989,269753.62,1,0,0,0
2256,4,2,1992,90256.53,1,0,0,0
2328,4,2,1995,256324.23,1,0,0,0
2549,3,2,1997,215428.44,1,0,0,0
2166,4,2,2018,349937.84,1,0,0,0
2438,5,1,1979,270658.2,1,0,0,0
2396,5,2,1991,333079.8,1,0,0,0
2589,2,2,1973,352650.34,1,0,0,0
2909,3,2,2008,384570.0,1,0,0,0
2282,3,1,2014,295735.16,1,0,0,0
2035,2,2,1951,234129.69,1,0,0,0
1735,2,2,1957,195768.77,1,0,0,0
1971,2,1,1990,238246.38,1,0,0,0
1372,4,3,2009,121797.36,1,0,0,0
2031,4,1,1959,232913.78,1,0,0,0
2145,5,3,1961,260744.78,1,0,0,0
2371,3,2,2017,295669.22,1,0,0,0
2671,4,3,1988,301400.88,1,0,0,0
1539,3,3,1992,230483.48,1,0,0,0
1868,5,3,1978,271113.4,1,0,0,0
2727,4,2,1950,312734.66,1,0,0,0
1501,5,1,1995,198493.33,1,0,0,0
2747,4,2,1984,373797.12,1,0,0,0
1460,3,2,1979,128689.37,1,0,0,0
1751,4,1,1960,167144.44,1,0,0,0
1255,2,3,1969,152644.9,1,0,0,0
2944,2,1,2001,270128.28,1,0,0,0
1876,4,3,2005,177401.47,1,0,0,0
2028,3,2,1966,249908.62,1,0,0,0
2015,4,1,1960,187143.69,1,0,0,0
1373,3,2,1967,155358.83,1,0,0,0
1852,4,1,1954,156793.64,1,0,0,0
1062,5,2,1963,94671.11,1,0,0,0
2877,3,1,1961,282958.56,1,0,0,0
2952,3,3,2001,289062.44,1,0,0,0
1475,3,1,2011,90949.33,1,0,0,0
2886,4,2,1997,280071.5,1,0,0,0
2668,2,2,1982,258006.47,1,0,0,0
2588,4,3,2014,339031.53,1,0,0,0
2101,3,1,2020,176065.22,1,0,0,0
1684,2,1,1967,97481.125,1,0,0,0
1716,5,2,2015,251997.92,1,0,0,0
1448,5,2,1952,232049.16,1,0,0,0
2823,5,1,1979,400579.38,1,0,0,0
1094,4,2,2011,198666.66,1,0,0,0
2574,5,2,1966,296498.53,1,0,0,0
1437,5,3,1991,152095.6,1,0,0,0
2914,2,1,1956,339183.53,1,0,0,0
1762,2,2,2015,173138.8,1,0,0,0
2848,3,3,1953,273489.44,1,0,0,0
2326,4,3,2004,141390.55,1,0,0,0
1852,4,2,1963,151088.12,1,0,0,0
2933,3,2,1954,251312.06,1,0,0,0
1434,4,2,1989,227151.1,1,0,0,0
1763,2,3,1990,182273.61,1,0,0,0
1858,3,3,1993,169985.33,1,0,0,0
1446,2,1,2007,204761.0,1,0,0,0
1248,4,2,1974,273099.84,1,0,0,0
2358,4,2,2003,223537.98,1,0,0,0
2019,2,3,2013,196595.67,1,0,0,0
1541,3,3,2012,224318.81,1,0,0,0
1132,5,3,1975,134815.36,1,0,0,0
1796,5,2,1950,151337.73,1,0,0,0
2424,5,1,2013,291911.78,1,0,0,0
2353,5,1,1986,259199.9,1,0,0,0
1204,4,3,2005,216805.17,1,0,0,0
1125,2,2,2013,105204.66,1,0,0,0
1042,4,2,1999,201918.86,1,0,0,0
2775,2,3,2020,290506.2,1,0,0,0
1110,5,1,2002,200784.72,1,0,0,0
2206,5,3,1973,338611.34,1,0,0,0
2994,3,3,2000,351976.56,1,0,0,0
2543,3,2,2002,240045.81,1,0,0,0
2719,4,1,2003,250253.12,1,0,0,0
1092,4,3,1963,82690.01,1,0,0,0
2426,4,2,1976,279755.38,1,0,0,0
2028,4,2,1980,268956.7,1,0,0,0
1603,2,1,2001,179761.44,1,0,0,0
1681,4,3,1957,233796.12,1,0,0,0
1533,5,3,1959,323573.66,1,0,0,0
2428,2,3,2020,217368.52,1,0,0,0
1837,5,1,1989,246895.89,1,0,0,0
1345,4,2,1953,164341.11,1,0,0,0
2101,2,3,1962,236619.53,1,0,0,0
1213,2,2,2004,83400.59,1,0,0,0
1106,3,2,1999,145544.55,1,0,0,0
1830,2,1,1995,219525.38,1,0,0,0
2280,3,3,1995,279972.38,1,0,0,0
1007,3,3,2020,104862.805,1,0,0,0
1624,2,2,1986,181002.39,1,0,0,0
1302,4,3,1960,117527.31,1,0,0,0
1725,3,3,1963,206785.94,1,0,0,0
1027,4,2,1974,190994.42,1,0,0,0
1077,2,2,1965,132371.33,1,0,0,0
2409,5,1,1979,286223.44,1,0,0,0
1364,4,1,1970,163351.08,1,0,0,0
1665,3,2,2021,175376.27,1,0,0,0
1698,2,3,2010,276522.3,1,0,0,0
2335,4,3,1968,305260.84,1,0,0,0
1749,3,1,2014,153530.47,1,0,0,0
1362,4,1,2020,120080.055,1,0,0,0
2531,5,1,2006,278897.66,1,0,0,0
2529,4,3,2010,274377.38,1,0,0,0
1805,3,3,1993,158850.12,1,0,0,0
2038,5,3,1981,174033.06,1,0,0,0
2654,4,1,2014,234263.3,1,0,0,0
1484,3,3,1979,160660.39,1,0,0,0
1027,5,2,1951,146631.56,1,0,0,0
2062,4,1,1955,215906.95,1,0,0,0
2976,3,3,2016,401985.28,1,0,0,0
2497,4,3,1986,269624.0,1,0,0,0
1811,2,2,1971,202758.0,1,0,0,0
1536,4,3,1951,231199.84,1,0,0,0
2603,4,2,1955,262747.2,1,0,0,0
1232,2,1,1955,162027.03,1,0,0,0
1622,3,1,1982,162059.81,1,0,0,0
2799,4,1,2017,298891.03,1,0,0,0
2959,3,3,1988,256438.81,1,0,0,0
2392,5,2,1953,339929.78,1,0,0,0
1594,3,3,1974,230984.62,1,0,0,0
2577,3,2,1964,354670.28,1,0,0,0
2541,3,1,1992,279927.38,1,0,0,0
1691,5,1,2000,123146.72,1,0,0,0
2343,4,3,2004,171330.52,1,0,0,0
2975,5,2,1973,230128.14,1,0,0,0
1876,3,2,2015,274445.78,1,0,0,0
2460,4,2,2018,255506.8,1,0,0,0
1623,5,3,1957,257388.34,1,0,0,0
2373,2,1,1978,339049.56,1,0,0,0
1842,2,2,1987,169699.08,1,0,0,0
2630,3,2,2000,237559.92,1,0,0,0
1822,2,1,1998,250317.03,1,0,0,0
2160,3,2,1964,240498.3,1,0,0,0
1898,5,3,1970,252217.31,1,0,0,0
1242,4,2,1976,129691.65,1,0,0,0
2755,2,3,2011,287310.4,1,0,0,0
2870,4,3,1951,314993.84,1,0,0,0
1645,4,1,2018,144500.27,1,0,0,0
1880,5,3,2014,305647.9,1,0,0,0
2629,5,3,1953,340724.4,1,0,0,0
1503,5,1,1996,179352.7,1,0,0,0
2049,5,1,1987,216764.62,1,0,0,0
2323,4,3,1995,328992.56,1,0,0,0
1325,4,3,1955,140293.84,1,0,0,0
2141,5,2,2013,395177.0,1,0,0,0
1835,2,2,1976,337327.03,1,0,0,0
1723,3,3,1978,228232.34,1,0,0,0
1224,2,2,2019,79423.97,1,0,0,0
1112,5,1,1951,141798.62,1,0,0,0
1319,2,3,1973,289406.84,1,0,0,0
2828,5,1,1982,331264.25,1,0,0,0
2534,3,3,1960,363923.9,1,0,0,0
1901,3,2,1998,184846.62,1,0,0,0
2342,5,3,2012,302265.53,1,0,0,0
2943,5,3,1998,370903.7,1,0,0,0
2573,2,2,2005,397850.34,1,0,0,0
1317,2,2,1974,156225.7,1,0,0,0
2979,2,1,1955,324357.78,1,0,0,0
2969,4,3,1986,369632.88,1,0,0,0
1333,5,3,2009,79993.95,1,0,0,0
1587,4,1,1960,225659.3,1,0,0,0
2595,4,1,2003,323949.0,1,0,0,0
2855,5,2,1966,336663.75,1,0,0,0
2802,3,1,1955,163978.94,1,0,0,0
1872,2,2,1991,248496.03,1,0,0,0
1797,2,2,1951,159062.03,1,0,0,0
1573,2,3,1981,186844.44,1,0,0,0
1131,5,2,1950,131388.36,1,0,0,0
1088,2,2,1959,160656.62,1,0,0,0
2863,5,2,1953,277955.28,1,0,0,0
1799,5,1,1961,192391.95,1,0,0,0
2714,4,3,1985,281494.44,1,0,0,0
2660,5,1,1965,283144.03,1,0,0,0
1574,4,3,1958,149579.3,1,0,0,0
1142,2,3,1993,161527.31,1,0,0,0
1992,5,3,1963,178777.67,1,0,0,0
1664,4,2,2002,150072.78,1,0,0,0
1144,4,2,1997,189146.2,1,0,0,0
2006,4,1,1952,183591.66,1,0,0,0
2985,2,3,2003,380395.78,1,0,0,0
2970,2,2,1979,411419.6,1,0,0,0
2669,2,3,1984,308269.1,1,0,0,0
1390,2,3,1999,149880.34,1,0,0,0
2038,3,3,1959,205517.81,1,0,0,0
2646,3,2,2000,319871.88,1,0,0,0
2692,2,3,1962,230926.3,1,0,0,0
2312,2,3,1963,211128.22,1,0,0,0
1477,3,2,1981,83129.195,1,0,0,0
1922,5,1,2000,156453.64,1,0,0,0
1156,2,1,2008,173471.08,1,0,0,0
2120,2,3,1965,227705.14,1,0,0,0
2020,5,3,1996,295173.22,1,0,0,0
1195,2,2,1971,177762.61,1,0,0,0
2545,2,2,2014,241398.23,1,0,0,0
2865,3,2,1998,282967.22,1,0,0,0
1864,4,3,1957,166514.3,1,0,0,0
2141,4,1,1995,310230.4,1,0,0,0
2900,4,1,2012,275815.9,1,0,0,0
2671,4,3,2003,235136.3,1,0,0,0
2284,3,2,1997,256342.94,1,0,0,0
2180,4,2,1978,243654.56,1,0,0,0
1046,2,2,1979,130267.43,1,0,0,0
1129,5,2,1979,177519.25,1,0,0,0
1094,3,2,1981,169065.25,1,0,0,0
1626,5,3,1978,91250.125,1,0,0,0
1754,4,1,1990,211992.81,1,0,0,0
2315,5,1,1993,338128.7,1,0,0,0
1068,4,3,2009,152613.9,1,0,0,0
2277,2,1,1995,266227.22,1,0,0,0
1871,5,1,1978,263080.88,1,0,0,0
2157,4,2,1981,295046.38,1,0,0,0
1711,5,3,1950,230494.33,1,0,0,0
1345,2,3,1975,116125.7,1,0,0,0
1301,5,2,1999,102950.4,1,0,0,0
2646,4,1,2020,311377.4,1,0,0,0
2639,3,3,2018,256415.73,1,0,0,0
1682,3,2,2014,78245.42,1,0,0,0
1355,4,1,1967,107755.086,1,0,0,0
2347,2,1,2008,210435.53,1,0,0,0
2156,3,1,2011,168184.25,1,0,0,0
1126,2,2,1962,168992.38,1,0,0,0
2129,4,1,1988,237640.73,1,0,0,0
2013,2,1,2019,210469.86,1,0,0,0
1050,5,3,1957,135494.92,1,0,0,0
2052,4,1,1999,185341.73,1,0,0,0
2320,4,2,1953,224537.7,1,0,0,0
1778,3,2,1956,274278.94,1,0,0,0
2792,5,3,1971,293720.97,1,0,0,0
2369,3,3,2006,303903.4,1,0,0,0
1982,5,2,1989,106851.63,1,0,0,0
2024,2,1,1970,249565.9,1,0,0,0
2854,4,1,2017,301546.3,1,0,0,0
1566,4,1,1994,221489.19,1,0,0,0
1370,3,2,1954,165914.81,1,0,0,0
2934,5,2,1959,311568.12,1,0,0,0
2454,4,3,1995,205557.88,1,0,0,0
2332,4,2,1951,238263.38,1,0,0,0
2160,5,1,2002,194130.19,1,0,0,0
1201,4,3,1998,216784.03,1,0,0,0
2459,4,2,1950,245500.69,1,0,0,0
1116,4,2,1992,15889.765,1,0,0,0
2689,4,2,1982,305738.9,1,0,0,0
1936,4,1,2001,296077.56,1,0,0,0
1574,2,3,1951,184214.47,1,0,0,0
1536,3,2,1958,177136.39,1,0,0,0
1385,4,3,1957,144371.78,1,0,0,0
1474,4,3,1962,209263.42,1,0,0,0
1346,3,3,1984,125234.805,1,0,0,0
1639,2,3,1952,110120.31,1,0,0,0
2202,4,3,2008,235142.83,1,0,0,0
2205,5,2,1956,285549.66,1,0,0,0
2990,2,2,1963,302196.88,1,0,0,0
1709,3,3,2003,154158.97,1,0,0,0
2879,4,3,1968,303241.56,1,0,0,0
1284,2,2,2005,37585.656,1,0,0,0
1661,5,3,2006,220192.39,1,0,0,0
1155,3,2,1988,100023.984,1,0,0,0
2905,4,3,1968,364014.7,1,0,0,0
2072,5,3,1985,171757.73,1,0,0,0
1848,2,2,1972,198300.8,1,0,0,0
2107,3,3,2010,148016.56,1,0,0,0
2086,2,1,2007,177225.02,1,0,0,0
2724,5,3,1961,388614.84,1,0,0,0
2383,2,1,1988,290390.75,1,0,0,0
1214,4,1,2015,180424.33,1,0,0,0
1031,2,1,2000,172501.4,1,0,0,0
2447,2,1,1998,263757.38,1,0,0,0
2042,4,1,1968,166135.92,1,0,0,0
1193,5,1,1954,142812.72,1,0,0,0
1113,2,2,2012,110817.16,1,0,0,0
1946,3,3,2004,232270.89,1,0,0,0
2920,4,1,1958,321136.8,1,0,0,0
2666,2,1,1982,265787.47,1,0,0,0
1777,2,2,1990,142219.27,1,0,0,0
2481,2,2,1966,282410.22,1,0,0,0
2901,3,3,2001,299697.6,1,0,0,0
2403,3,3,1997,279182.25,1,0,0,0
1086,4,2,1980,90785.01,1,0,0,0
2201,3,2,2013,226947.23,1,0,0,0
1758,2,3,1952,174479.81,1,0,0,0
2077,3,3,1975,186754.36,1,0,0,0
1760,5,2,2016,167602.83,1,0,0,0
1578,4,3,1994,200990.45,1,0,0,0
2632,5,3,1983,276882.12,1,0,0,0
2826,4,3,1955,349820.44,1,0,0,0
2111,5,3,1996,218625.2,1,0,0,0
2143,4,3,1985,332085.25,1,0,0,0
1181,5,3,1986,132678.44,1,0,0,0
1734,5,1,1960,167181.84,1,0,0,0
1006,3,2,2001,85889.1,1,0,0,0
1329,2,2,2010,222302.58,1,0,0,0
2696,4,2,2001,312284.28,1,0,0,0
1150,4,1,1960,199842.86,1,0,0,0
1146,5,1,2002,206526.8,1,0,0,0
2308,3,2,2007,282485.5,1,0,0,0
2546,3,3,2014,261128.81,1,0,0,0
2022,4,2,1963,198410.42,1,0,0,0
1804,2,2,1953,212473.88,1,0,0,0
1939,3,2,2011,313281.34,1,0,0,0
2529,3,1,1968,241835.84,1,0,0,0
1853,2,2,2000,212615.52,1,0,0,0
1592,4,2,1953,278666.62,1,0,0,0
1058,3,3,1953,108762.37,1,0,0,0
1720,3,3,1981,235281.53,1,0,0,0
2138,4,1,1962,153602.14,1,0,0,0
2232,5,3,1976,330475.75,1,0,0,0
